audit_item,status,current_evidence_eligible,evidence_or_boundary
Matched heteroscedastic BKAN-VI/MC-dropout UQ,CURRENT_ACCEPTED_MATCHED_HETEROSCEDASTIC,True,"artifacts/results/matched_heteroscedastic_uq/acceptance_audit.json passed; same split, likelihood, and total optimizer-update budget"
Legacy one-channel/global-noise UQ replay,LEGACY_LIKELIHOOD_MISMATCHED,False,archival proper-score replay only; cannot support current BKAN-VI versus MC-dropout UQ claims
TCAD-level capacitance conformal,resolved,True,24 TCAD scores per seed; point/subcurve/TCAD coverage
Matched raw/standard/no-shrink intervals,CURRENT_ACCEPTED_MATCHED_HETEROSCEDASTIC,True,accepted matched_heteroscedastic_uq ten-seed comparison
Matched proper scoring rules,CURRENT_ACCEPTED_MATCHED_HETEROSCEDASTIC,True,"matched raw-Gaussian NLL/CRPS plus 95% interval score, MPIW, and coverage"
Ten matched grouped splits,resolved,True,frozen BKAN/DKAN/MLP-L/Poly3/Spline predictions
Paired ranking statistics,resolved,True,pre-specified Spline-Ridge reference; corrected repeated-split CI; Holm adjustment; descriptive bootstrap; W/T/L
Symbolic reproducibility/fidelity,resolved,True,"four-task protocol, replay, p95/max, dense finite, derivative audit"
Direct symbolic baselines,resolved,True,Poly3/Spline JSON and Verilog-A exports
Retired proxy-source scope,HISTORICAL_RETIRED_NON_PROPAGATING,False,legacy degree-3 proxy retained only for regression history; no evidence is transferred to terminal-Q
Distillation optimizer-seed stability,resolved,True,three seeds conditional on one frozen variational-parameter-mean teacher
Deterministic formula residual conformal,resolved,True,"90% target, exact rank 16 of 16, groupwise absolute-residual intervals for each frozen seed-42 KAN-free formula"
Paper positioning and evidence hierarchy,resolved,True,"evaluation framing, separated method stages, claim-to-evidence boundary table"
Posterior-sample symbolic stability,resolved,True,20 fixed VI draws per task; 190 pairwise term-set and prediction comparisons
Formula-ensemble conformal calibration,resolved with negative finding,True,90% target uses exact rank 16 of 16; capacitance test TCAD coverage is only 75%
Prospective frozen-model TCAD batch,partially resolved / external execution blocked,False,"four checkpoint hashes, 24 new conditions, 11,040-row preregistered sweep and blind evaluator frozen; TCAD project and solver unavailable"
Structured-holdout OOD-UQ,resolved,True,16 scenarios x 3 seeds with saved ID/OOD predictive traces and proper scores
Representative terminal-charge validation,resolved locally,True,"16 strict TCAD conditions, held-out compact-fit audit, independent derivative and chain-rule replay"
Replacement terminal-Q simulator execution,external execution pending,False,dedicated Spectre DC/AC/transient decks exist but have not been run for the replacement source
Second device/process or measured domain,externally blocked,False,no additional dataset supplied
Historical training hardware/runtime,partially resolved,False,CPU execution is recorded; exact contemporaneous host and wall times are not
